title,price_gbp,rating,availability,category,in_stock
It's Only the Himalayas,£45.17,Two,In stock,Travel,True
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel,True
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel,True
Under the Tuscan Sun,£37.33,Three,In stock,Travel,True
A Summer In Europe,£44.34,Two,In stock,Travel,True
The Great Railway Bazaar,£30.54,One,In stock,Travel,True
A Year in Provence (Provence #1),£56.88,Four,In stock,Travel,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,Travel,True
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel,True
"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel,True
Sharp Objects,£47.82,Four,In stock,Mystery,True
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery,True
The Past Never Ends,£56.50,Four,In stock,Mystery,True
A Murder in Time,£16.64,One,In stock,Mystery,True
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,True
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery,True
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery,True
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery,True
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock,Mystery,True
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock,Mystery,True
Poisonous (Max Revere Novels #3),£26.80,Three,In stock,Mystery,True
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery,True
Most Wanted,£35.28,Three,In stock,Mystery,True
Hide Away (Eve Duncan #20),£11.84,One,In stock,Mystery,True
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery,True
The Widow,£27.26,Two,In stock,Mystery,True
Playing with Fire,£13.71,Three,In stock,Mystery,True
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock,Mystery,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock,Mystery,True
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock,Mystery,True
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock,Mystery,True
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock,Mystery,True
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock,Mystery,True
The Exiled,£43.45,Three,In stock,Mystery,True
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock,Mystery,True
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock,Mystery,True
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock,Mystery,True
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock,Mystery,True
The Girl You Lost,£12.29,Five,In stock,Mystery,True
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock,Mystery,True
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock,Mystery,True
1st to Die (Women's Murder Club #1),£53.98,One,In stock,Mystery,True
Tipping the Velvet,£53.74,One,In stock,Historical Fiction,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction,True
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction,True
The House by the Lake,£36.95,One,In stock,Historical Fiction,True
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction,True
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction,True
Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction,True
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction,True
A Paris Apartment,£39.01,Four,In stock,Historical Fiction,True
Lilac Girls,£17.28,Two,In stock,Historical Fiction,True
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction,True
The Invention of Wings,£37.34,One,In stock,Historical Fiction,True
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction,True
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction,True
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction,True
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction,True
The Red Tent,£35.66,Five,In stock,Historical Fiction,True
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction,True
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction,True
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction,True
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction,True
While You Were Mine,£41.32,Five,In stock,Historical Fiction,True
The Secret Healer,£34.56,Three,In stock,Historical Fiction,True
Starlark,£25.83,Three,In stock,Historical Fiction,True
Lost Among the Living,£27.70,Four,In stock,Historical Fiction,True
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction,True
